,0,1,2,3,4,5
BALANCE,0.014307217634733858,0.8005158021749278,-0.1286882972583432,-0.2530855449919378,0.26231223500089945,-0.06731271591474756
BALANCE_FREQUENCY,0.19198111131484413,0.3569814123122158,-0.20125106971998166,-0.4985599296964161,-0.14970730039942912,0.21739856185110296
PURCHASES,0.8876739223703136,0.2507864104108395,0.17254756622673229,0.02961626262556691,0.019533125036871254,-0.16530276289059662
ONEOFF_PURCHASES,0.7394872175068858,0.2683648065130192,0.43120108714578714,0.014920962226886927,0.004543823670726754,-0.07279781407579222
INSTALLMENTS_PURCHASES,0.7418519890187033,0.0966619732811601,-0.31920289477662395,0.042134828120562094,0.0028406288603627134,-0.20646924140705666
CASH_ADVANCE,-0.2767629669132589,0.7959661701104465,-0.14683279623764767,0.37225045054574096,0.04801272969524616,0.12629627673955282
PURCHASES_FREQUENCY,0.7866998310784181,-0.17309449716504452,-0.360285456895729,-0.009562667551316103,0.020293535530810286,0.36264153588959247
ONEOFF_PURCHASES_FREQUENCY,0.674513029654579,0.16512906634474228,0.4552312553320742,-0.07174222627502934,-0.10972388792917197,0.2994415651663452
PURCHASES_INSTALLMENTS_FREQUENCY,0.6690136608483934,-0.1808390854392938,-0.6431033096415144,0.01861765019162883,-0.04474949089649188,0.13306081313300994
CASH_ADVANCE_FREQUENCY,-0.358127768014956,0.7387181701341817,-0.11625632553377083,0.1504799010519913,-0.1900506771079884,0.21431319277724728
CASH_ADVANCE_TRX,-0.28602482774950994,0.7404597951189484,-0.14421545288331264,0.21091482305711015,-0.1228420451014118,0.235707402357992
PURCHASES_TRX,0.859648651948835,0.1693709292899422,-0.06490130144474582,-0.04731682123177789,-0.07466878392231359,-0.010129011082654373
CREDIT_LIMIT,0.3352162515276627,0.4809144823612478,0.10823545939583847,0.23651828113202847,0.30119879852044684,-0.16243813379618185
PAYMENTS,0.404894388288008,0.5744445988585061,0.07078244599611909,0.3232583878584361,0.14799100371591242,-0.23860241139980806
MINIMUM_PAYMENTS,0.05037889186951912,0.5118589024737381,-0.24046792106705633,-0.3912319951371736,0.3877183843948756,-0.13535285748025366
PRC_FULL_PAYMENT,0.3330850738735438,-0.3031881291465606,-0.03225464613755783,0.5000244697176125,0.0035493757494385833,-0.043203119008495126
TENURE,0.1621720659520008,0.018259883269944526,0.009073999094445182,-0.26599736048882466,0.2366879788248418,-0.3239858386207049
MONTHLY_AVG_PURCHASE,0.8813158235196001,0.24941913604788984,0.17528506449841838,0.04165351251533313,0.011178123510709688,-0.13937121935594635
MONTHLY_AVG_CASH_ADVANCE,-0.283715318206571,0.778520702678595,-0.1441194138260159,0.39235565469133643,0.016476339322755874,0.15801758887485184
LIMIT_USAGE,-0.2363626705382274,0.5235311811617649,-0.1523216444701545,-0.6598929052085984,-0.018746967094416086,0.029075891559951824
Both,0.6608838177103039,0.14340365620418308,-0.013868157885302585,-0.10739176864252817,-0.4721181518145476,0.11677706219595073
Installment_purchase,-0.00979356995767173,-0.4287961363040696,-0.6631608787325343,0.17904512251872903,0.427377968354669,0.015628757756490766
None,-0.5716418283008446,0.30570261847656044,0.044096354156514646,0.0020895541830739557,-0.393061451634666,-0.5398163939118871
On_off,-0.15155002668738177,-0.020287448787551704,0.6790699288715554,-0.07134442006645264,0.48591622950615143,0.4074565654075331
